LCCN	LCSH	Identifier	Name
sh85010736	Babine language	bcr	Babine
sh86001021	Bable language	ast	Asturian
sh98003739	Bada language (Indonesia)	bhz	Bada (Indonesia)
sh85010890	Badaga language	bfq	Badaga
sh85010891	Badakhshani language	drw	Darwazi
sh85010924	Badyara language	pbp	Badyara
sh85010945	Bafia language	ksf	Bafia
sh96004867	Bafut language	bfd	Bafut
sh85010964	Bagheli language	bfy	Bagheli
sh85010966	Bagirmi language	bmi	Bagirmi
sh85010969	Bagobo language	obo	Obo Manobo
sh85010980	Bagri language	bgq	Bagri
sh85010986	Bagulal language	kva	Bagvalal
sh85011053	Bagyele language	gyi	Gyele
sh92004900	Baham language	bdw	Baham
sh85011008	Bahinemo language	bjh	Bahinemo
sh85011009	Bahing language	bhj	Bahing
sh85011010	Bahnar language	bdq	Bahnar
sh85085463	Bai language (China)	bca	Central Bai
sh85011039	Baining language	byx	Qaqet
sh92005056	Baiso language	bsw	Baiso
sh85011052	Bajau language	bdl	Indonesian Bajau
sh85011064	Baka language (Cameroon and Gabon)	bkc	Baka (Cameroon)
sh85011063	Baka language	bdh	Baka (Sudan)
sh85011066	Bakairi language	bkq	Bakairí
sh85011086	Bakhtiari language	bqi	Bakhtiari
sh85011099	Bakossi language	bss	Akoose
sh87003436	Bakumpai language	bkr	Bakumpai
sh85011102	Bakundu language	bdu	Oroko
sh87003178	Balaesang language	bls	Balaesang
sh85011134	Balangao language	blw	Balangao
sh87000399	Balangingì language	sse	Balangingi
sh93007849	Balantak language	blz	Balantak
sh85011141	Balante language	ble	Balanta-Kentohe
sh85011177	Balinese language	ban	Balinese
sh85011358	Balti language	bft	Balti
sh85011389	Baluchi language	bal	Baluchi
sh85011402	Bambara language	bam	Bambara
sh85011404	Bambatana language	baa	Babatana
sh85011428	Bamu River language	bcf	Bamu
sh85011431	Bamun language	bax	Bamun
sh97005156	Banda language (Indonesia)	bnd	Banda (Indonesia)
sh85011477	Banda language	liy	Banda-Bambari
sh85011488	Bandjalang language	bdy	Bandjalang
sh85011489	Bandjoun language	bbj	Ghomálá&apos;
sh85011513	Bangaru language	bgc	Haryanvi
sh97008843	Banggai language	bgz	Banggai
sh85011534	Bangubangu language	bnx	Bangubangu
sh98005393	Bangwa language	nwe	Ngwe
sh93006907	Baniwa language	bwi	Baniwa
sh98004935	Banjar Hulu language	bjn	Banjar
sh85011543	Banjarese language	bjn	Banjar
sh96000588	Bankudu-Balue language	bdu	Oroko
sh97004142	Bantawa language	bap	Bantawa
sh93002705	Banten language	jav	Javanese
sh88000623	Banton language	bno	Bantoanon
sh92004897	Banyjima language	pnw	Panytyima
sh85011766	Bara language (Madagascar)	bhr	Bara Malagasy
sh85011771	Barai language	bbb	Barai
sh85011774	Barambu language	brm	Barambu
sh85011776	Barasana del Norte language	bao	Waimaha
sh85011777	Barasana del Sur language	bsn	Barasana-Eduria
sh85011820	Bard language	bcj	Bardi
sh96002072	Baré language	bae	Baré
sh85011825	Bareë language	pmf	Pamona
sh85011834	Bari language	bfa	Bari
sh85011835	Baria language	nrb	Nara
sh2001005810	Bariai language	bch	Bariai
sh92003361	Bariba language	bba	Baatonum
sh85011978	Bartang language	sgh	Shughni
sh85011998	Baruya language	byr	Baruya
sh85012012	Basa language	bas	Basa (Cameroon)
sh93007567	Basap language	bdb	Basap
sh85012064	Bashgali language	bsh	Kati
sh85012068	Bashkir language	bak	Bashkir
sh85012138	Basque language	eus	Basque
sh85012174	Bassa language (Liberia and Sierra Leone)	bsq	Bassa
sh85012177	Bassari language	bsc	Bassari
sh87000954	Batad Ifugao language	ifb	Batad Ifugao
sh97000390	Batak language (Philippines)	bya	Batak
sh85012311	Batak language	bya	Batak
sh85012314	Batan language	ivv	Ivatan
sh85012375	Bati language	btc	Bati (Cameroon)
sh85012399	Bats language	bbl	Bats
sh85012441	Bau-Jagoi language	sne	Bau Bidayuh
sh85011715	Baule language	bci	Baoulé
sh85012453	Bauré language	brg	Baure
sh86007445	Bauzi language	bvz	Bauzi
sh93009065	Bawo language (Indonesia)	lbx	Lawangan
sh93009159	Bayungu language	bxj	Bayungu
sh90005924	Be language	onb	Lingao
sh85012688	Béarnais language	oci	Occitan (post 1500)
sh85012780	Bedik language	tnr	Bedik
sh2003005680	Begak language	dbj	Ida&apos;an
sh85012920	Beja language	bej	Beja
sh85012926	Bekwarra language	bkv	Bekwarra
sh85018438	Belarusian language	bel	Belarusian
sh85013030	Bella Coola language	blc	Bella Coola
sh85013096	Bemba language	bem	Bemba (Zambia)
sh85013098	Bembe language (Congo (Brazzaville))	beq	Beembe
sh85013099	Bembe language (Lake Tanganyika)	bmb	Bembe
sh85013101	Benabena language	bef	Benabena
sh96002148	Beng language	nhb	Beng
sh85013141	Benga language	bng	Benga
sh85013150	Bengali language	ben	Bengali
sh85013169	Benge language	bww	Bwa
sh95003814	Bengkulu language	pse	Central Malay
sh85013250	Beothuk language	bue	Beothuk
sh86003945	Berik language	bkl	Berik
sh87001266	Besemah language	pse	Central Malay
sh2002004299	Betawi language	bew	Betawi
sh85013456	Bete language	byf	Bete
sh85013476	Betsileo language	plt	Plateau Malagasy
sh90005920	Betsimisaraka language	bjq	Southern Betsimisaraka Malagasy
sh99002901	Bezhta language	kap	Bezhta
sh92003042	Bhadrawahi language	bhd	Bhadrawahi
sh87003658	Bhalesi language	bhd	Bhadrawahi
sh85013542	Bhili language	bhb	Bhili
sh85013549	Bhojpuri language	bho	Bhojpuri
sh93008728	Bhumij language	unr	Mundari
sh85013562	Biak language	bhw	Biak
sh97000067	Biali language	beh	Biali
sh85013566	Biangai language	big	Biangai
sh92004898	Biat language	cmo	Central Mnong
sh85013568	Biatah language	bth	Biatah Bidayuh
sh88000367	Bidiyo language	bid	Bidiyo
sh85013921	Bidjara language	bym	Bidyara
sh85013963	Big Nambas language	nmb	Big Nambas
sh85013987	Bihari language	bih	Bihari
sh92004586	Bijago language	bjg	Bidyogo
sh85013993	Bikaneri language	rwr	Marwari (India)
sh85013996	Bikol language	bik	Bikol
sh2004006017	Bilaspuri language	kfs	Bilaspuri
sh93006302	Biliau language	bcu	Awad Bing
sh85014026	Bilin language	byn	Bilin
sh85014073	Biloxi language	bll	Biloxi
sh85014075	Bimanese language	bhp	Bima
sh85014080	Binandere language	bhg	Binandere
sh85014103	Bini language	bin	Bini
sh92003270	Binongko language	bhq	Tukang Besi South
sh97003750	Bintauna language	bne	Bintauna
sh85017827	Binukid Manobo language	bkd	Binukid
sh85014116	Binumarien language	bjr	Binumarien
sh90005153	Birhor language	biy	Birhor
sh2001004751	Biri language (Australia)	bzr	Biri
sh85014357	Birom language	bom	Berom
sh85014358	Birri language	bvq	Birri
sh85014401	Bisa language	leb	Lala-Bisa
sh85014417	Bishnupuriya language	bpy	Bishnupriya
sh85014431	Bisio language	nmg	Kwasio
sh85014432	Bislama language	bis	Bislama
sh92004544	Bisorio language	bir	Bisorio
sh85014537	Black Carib language	cab	Garifuna
sh85014572	Black Hmong language	hea	Northern Qiandong Miao
sh86002415	Black Tai language	blt	Tai Dam
sh91002680	Blagar language	beu	Blagar
sh92000912	Blang language	blr	Blang
sh85015179	Bobangi language	bni	Bangi
sh85015193	Bobo Fing language	bbo	Northern Bobo Madaré
sh86006662	Bodega Miwok language	csi	Coast Miwok
sh85015302	Bohairic language	cop	Coptic
sh85015339	Boiken language	bzf	Boikin
sh85015355	Bokar language	adi	Adi
sh87001847	Bolaang Mongondow language	mog	Mongondow
sh85015373	Bolia language	bli	Bolia
sh87000318	Bolinao language	smk	Bolinao
sh93006225	Bolongan language	blj	Bolongan
sh92004850	Bom language	boj	Anjam
sh85015457	Boma language (Congo)	boh	Boma
sh91000607	Bomitaba language	zmx	Bomitaba
sh85097521	Bonan language	peh	Bonan
sh85015497	Bonda language	bfw	Bondo
sh85015502	Bondei language	bou	Bondei
sh85015563	Bongo language	bot	Bongo
sh85015564	Bongu language	bpu	Bongu
sh92004530	Boni language (French Guiana and Suriname)	djk	Aukan
sh85015565	Boni language (Kenya and Somalia)	bob	Aweer
sh91003700	Boomu language	bmq	Bomu
sh85015793	Bor language (Dinka)	dks	Southeastern Dinka
sh87007602	Bor language (Lwo)	bxb	Belanda Bor
sh85015796	Bora language	boa	Bora
sh85015800	Boran language	gax	Borana-Arsi-Guji Oromo
sh93007899	Bori language	adi	Adi
sh85015881	Bororo language (Brazil)	bor	Borôro
sh89002891	Bororo language (West Africa)	fuv	Nigerian Fulfulde
sh85015890	Boruca language	brn	Boruca
sh00003105	Bosnian language	bos	Bosnian
sh92001884	Bote-Mahi language	bmj	Bote-Majhi
sh87007666	Botlikh language	bph	Botlikh
sh87000507	Botolan Sambal language	sbl	Botolan Sambal
sh85108601	Bouyei language	pcc	Bouyei
sh85016310	Brahui language	brh	Brahui
sh85016374	Braj language	bra	Braj
sh85016753	Breton language	bre	Breton
sh85016790	Bribri language	bzd	Bribri
sh85016942	Brissa language	any	Anyin
sh94004900	British Sign Language	bfi	British Sign Language
sh85017040	Brokpa language	bkk	Brokskat
sh85017400	Bube language	bvb	Bube
sh85017614	Budukh language	bdk	Budukh
sh97001806	Buduma language	bdm	Buduma
sh85017675	Bugis language	bug	Buginese
sh85017684	Bugotu language	bgt	Bughotu
sh94005815	Bugun language	bgg	Bugun
sh85017823	Buin language	buo	Terei
sh85017824	Bukar Sadong language	sdo	Bukar-Sadung Bidayuh
sh98005027	Bukawa language	buk	Bugawac
sh85017831	Bukusu language	bxk	Bukusu
sh85017903	Bulgarian language	bul	Bulgarian
sh87007466	Buli language	bwu	Buli (Ghana)
sh85017979	Bulu language	bum	Bulu (Cameroon)
sh2002002075	Bunaba language	bck	Bunaba
sh85017986	Bunak language	bfn	Bunak
sh87007603	Bunama language	bdd	Bunama
sh85017988	Bundeli language	bns	Bundeli
sh90004680	Bune Bonda language	swu	Suwawa
sh99005134	Bungku language	bkz	Bungku
sh85018020	Bunun language	bnn	Bunun
sh87004150	Buol language	blf	Buol
sh85018050	Burarra language	bvr	Burarra
sh85018089	Buriat language	bua	Buriat
sh85018097	Burji language	bji	Burji
sh85018133	Burmese language	mya	Burmese
sh85018214	Buru language	mhs	Buru (Indonesia)
sh87007463	Burum language (Papua New Guinea)	bmu	Burum-Mindik
sh85018217	Burushaski language	bsk	Burushaski
sh85018254	Bushoong language	buf	Bushoong
sh85018423	Bwaidoga language	bwd	Bwaidoka
sh91003701	Bwamu language	bww	Bwa
sh96000155	Byangsi language	bee	Byangsi
sh89006521	Cabecar language	cjp	Cabécar
sh85018608	Cacua language	cbv	Cacua
sh85018619	Caddo language	cad	Caddo
sh85018701	Cahuilla language	chl	Cahuilla
sh85018712	Caingua language	kgk	Kaiwá
sh85018722	Cajun French language	frc	Cajun French
sh85018724	Cakavian language	hrv	Croatian
sh85018938	Callahuaya language	caw	Callawalla
sh85019018	Caló language (Romani)	rmr	Caló
sh85019040	Caluyanun language	clu	Caluyanun
sh85071387	Camaracoto language	aoc	Pemon
sh85019182	Campa language	cni	Asháninka
sh85019271	Camsa language	kbh	Camsá
sh85019272	Camuhi language	cam	Cemuhî
sh85019476	Cañari language	quf	Lambayeque Quechua
sh85019579	Candoshi language	cbu	Candoshi-Shapra
sh85019585	Canella language	ram	Canela
sh85019593	Canichana language	caz	Canichana
sh85019869	Capanahua language	kaq	Capanahua
sh92004531	Cape Verde Creole language	kea	Kabuverdianu
sh87007471	Caquinte language	cot	Caquinte
sh91003089	Car Nicobarese language	caq	Car Nicobarese
sh85020058	Carapana language (Tucanoan)	cbc	Carapana
sh94000809	Carian language	xcr	Carian
sh85020274	Carib language	car	Galibi Carib
sh91001634	Carolinian language	cal	Carolinian
sh96007026	Carpatho-Rusyn language	rue	Rusyn
sh85020469	Carrier language	crx	Carrier
sh85020593	Cashibo language	cbr	Cashibo-Cacataibo
sh85020596	Cashinawa language	cbs	Cashinahua
sh85020782	Catalan language	cat	Catalan
sh85020962	Catawba language	chc	Catawba
sh85021246	Catio language	cto	Emberá-Catío
sh85021456	Cauqui language	jqr	Jaqaru
sh85021542	Cavineño language	cav	Cavineña
sh89006436	Cayapa language	cbi	Chachi
sh85021555	Cayapo language	txu	Kayapó
sh96003821	Cayuga language	cay	Cayuga
sh85021563	Cayuvava language	cyb	Cayubaba
sh85021584	Cebuano language	ceb	Cebuano
sh96009143	Celtiberian language	xce	Celtiberian
sh88005094	Central Bontoc language	bnc	Central Bontoc
sh92004899	Central Mnong language	cmo	Central Mnong
sh98000812	Central Sama language	sml	Central Sama
sh86007780	Central Subanen language	syb	Central Subanen
sh90002786	Central Yupik language	esu	Central Yupik
sh85022232	Chabacano language	cbk	Chavacano
sh85022249	Chacobo language	cao	Chácobo
sh85022321	Chagatai language	chg	Chagatai
sh00001672	Chaha language	sgw	Sebat Bet Gurage
sh86005099	Chahar language	mvf	Peripheral Mongolian
sh85022360	Chakhesang language	nri	Chokri Naga
sh85022362	Chakma language	ccp	Chakma
sh85022404	Chamacoco language	ceg	Chamacoco
sh85022415	Chamalal language	cji	Chamalal
sh97000762	Chamba Daka language	ccg	Samba Daka
sh85022418	Chamba Lahuli language	lae	Pattani
sh85022435	Chambiali language	cdh	Chambeali
sh86008121	Chambri language	can	Chambri
sh93006490	Chamí language	cmi	Emberá-Chamí
sh94000885	Chamicuro language	ccc	Chamicuro
sh96001688	Chamling language	rab	Camling
sh85022445	Chamorro language	cha	Chamorro
sh85022505	Chang language	nbc	Chang Naga
sh97007948	Chantel language	chx	Chantyal
sh85023198	Chattisgarhi language	hne	Chhattisgarhi
sh85022798	Chayahuita language	cbt	Chayahuita
sh85022814	Chechen language	che	Chechen
sh95010794	Cheke Holo language	mrn	Cheke Holo
sh85022887	Chemehuevi language	ute	Ute-Southern Paiute
sh97003086	Chemgui language	ady	Adyghe
sh85023061	Chepang language	cdm	Chepang
sh85023087	Cherokee language	chr	Cherokee
sh92005279	Cheso language	arg	Aragonese
sh85023183	Chewa language	nya	Nyanja
sh85023193	Cheyenne language	chy	Cheyenne
sh85023219	Chiapanec language	cip	Chiapanec
sh85023225	Chibcha language	chb	Chibcha
sh85023289	Chickasaw language	cic	Chickasaw
sh85072299	Chiga language	cgg	Chiga
sh2002004857	Chilean Sign Language	csg	Chilean Sign Language
sh85023936	Chilliwack language	hur	Halkomelem
sh85023952	Chimane language	cas	Tsimané
sh85023955	Chimariko language	cid	Chimariko
sh94005842	Chinali language	cih	Chinali
sh93007141	Chinbon language	cnb	Chinbon Chin
sh85024301	Chinese language	zho	Chinese
sh00002637	Chinese Sign Language	csl	Chinese Sign Language
sh85024399	Chinook language	chh	Chinook
sh85024415	Chipaya language	cap	Chipaya
sh85024417	Chipewyan language	chp	Chipewyan
sh85024439	Chiquito language	cax	Chiquitano
sh85024446	Chiricahua language	apm	Mescalero-Chiricahua Apache
sh85024450	Chiriguano language	gui	Eastern Bolivian Guaraní
sh92004587	Chiripá language	nhd	Chiripá
sh2002005964	Chitapavani language	gom	Goan Konkani
sh85024493	Chitimacha language	ctm	Chitimacha
sh85024599	Chocho language	coz	Chochotec
sh85024613	Choctaw language	cho	Choctaw
sh85024635	Chokwe language	cjk	Chokwe
sh2001009622	Cholon language	cht	Cholón
sh85025499	Chontaquiro language	cuj	Mashco Piro
sh85024693	Chopi language	cce	Chopi
sh85024760	Choroti language	crt	Iyojwa&apos;ja Chorote
sh85024767	Chorti language	caa	Chortí
sh85025002	Chrau language	crw	Chrau
sh85025464	Chuave language	cjv	Chuave
sh93002784	Chugach language	ems	Pacific Gulf Yupik
sh85025481	Chukchi language	ckt	Chukot
sh85025485	Chulupí language	cag	Nivaclé
sh85025491	Chumash language	chs	Chumash
sh85025754	Church Slavic language	chu	Church Slavic
sh85025887	Chutiya language	der	Deori
sh85025890	Chuvash language	chv	Chuvash
sh93006227	Cia-cia language	cia	Cia-Cia
sh85025944	Cifundi language	swh	Swahili (individual language)
sh2002001717	Cimbrian language	cim	Cimbrian
sh93006228	Cirebon language	sun	Sundanese
sh85026542	Clallam language	clm	Clallam
sh85027306	Coahuilteco language	xcw	Coahuilteco
sh85027563	Cocama language	cod	Cocama-Cocamilla
sh85027634	Cocopa language	coc	Cocopa
sh85027698	Cofán language	con	Cofán
sh85028682	Colorado language	cof	Colorado
sh85028776	Colville language	oka	Okanagan
sh85028786	Comanche language	com	Comanche
sh90002073	Comorian language	swb	Comorian
sh85032249	Coos language	csz	Coos
sh85032419	Coptic language	cop	Coptic
sh97003091	Coquille language	coq	Coquille
sh85032507	Cora language	crn	El Nayar Cora
sh85033031	Coreguaje language	coe	Koreguaje
sh85032849	Cornish language	cor	Cornish
sh2001006288	Costa Rican Sign Language	csr	Costa Rican Sign Language
sh88007671	Cotabato Manobo language	mta	Cotabato Manobo
sh85033883	Cree language	cre	Cree
sh85033895	Creek language	mus	Creek
sh85034019	Crimean Tatar language	crh	Crimean Tatar
sh88000624	Crioulo language	pov	Upper Guinea Crioulo
sh00003107	Croatian language	hrv	Croatian
sh91003822	Crow language	cro	Crow
sh85034540	Cua language	cua	Cua
sh85034541	Cuaiquer language	kwi	Awa-Cuaiquer
sh85034651	Cubeo language	cub	Cubeo
sh85034657	Cubulco Achi language	acc	Cubulco Achí
sh88005740	Cueva language	cuk	San Blas Kuna
sh85034694	Cuiba language	cui	Cuiba
sh85034708	Culina language	cul	Culina
sh85034799	Cuna language	cuk	San Blas Kuna
sh85034824	Cupeño language	cup	Cupeño
sh93009002	Curripaco language	kpc	Curripaco
sh85035020	Cuyunon language	cyo	Cuyonon
sh85035271	Czech language	ces	Czech
sh91002765	Daa language	kzf	Da&apos;a Kaili
sh85035340	Daba language	dbq	Daba
sh85035342	Dabida language	dav	Taita
sh85035355	Dacian language	xdc	Dacian
sh85035387	Dafla language	dap	Nisi (India)
sh85035389	Daga language	dgz	Daga
sh85035406	Dagbani language	dag	Dagbani
sh85035409	Dagur language	dta	Daur
sh85035410	Dahalo language	dal	Dahalo
sh87003846	Dairi Pakpak language	btd	Batak Dairi
sh85035479	Dakhini language	dcc	Deccan
sh85035500	Dakota language	dak	Dakota
sh85035532	Dalmatian language (Romance)	dlm	Dalmatian
sh85080105	Damana language	mbp	Malayo
sh92002105	Dampelasa language	dms	Dampelas
sh85035619	Dan language	daf	Dan
sh85035707	Dangaleat language	daa	Dangaléat
sh85035731	Danish language	dan	Danish
sh85035755	Dänjong-kä language	sip	Sikkimese
sh87003423	Danuwar Rai language	dhw	Dhanwar (Nepal)
sh85035784	Darai language	dry	Darai
sh85035792	Dargari language	dhr	Dhargari
sh85035793	Dargwa language	dar	Dargwa
sh85035797	Dari language	prs	Dari
sh85035800	Daribi language	mps	Dadibi
sh93006303	Dawawa language	dww	Dawawa
sh85035965	Day language (Chad)	dai	Day
sh85040270	Dayak language	knx	Kendayan
sh85035985	Daza language	dzd	Daza
sh92004855	Dedua language	ded	Dedua
sh85036471	Degema language	deg	Degema
sh2003003586	Dehawali language	vas	Vasavi
sh85036489	Dehu language	dhv	Dehu
sh85036550	Delaware language	del	Delaware
sh87001050	Deli language	zlm	Malay (individual language)
sh85132244	Dena&apos;ina language	tfn	Tanaina
sh85036693	Dendi language	ddn	Dendi (Benin)
sh92006538	Dengese language	dez	Dengese
sh85037117	Desana language	des	Desano
sh85037254	Deswali language	bgc	Haryanvi
sh93009160	Dhalandji language	dhl	Dhalandji
sh85037433	Dharawal language	tbh	Thurawal
sh85037445	Dhimal language	dhi	Dhimal
sh2002007147	Dhodia language	dho	Dhodia
sh85037452	Dhurga language	dhu	Dhurga
sh85037644	Dibabawon language	mbd	Dibabawon Manobo
sh85037757	Dido language	ddo	Dido
sh85037778	Diegueño language	coj	Cochimi
sh85132467	Digaro language	mhu	Digaro-Mishmi
sh85037994	Digo language	dig	Digo
sh85038029	Dimasa language	dis	Dimasa
sh2001005737	Ding language	diz	Ding
sh85038063	Dingal language	mwr	Marwari
sh85038075	Dinka language	din	Dinka
sh98003592	Diola Kasa language	csk	Jola-Kasa
sh85038111	Diola language	dyu	Dyula
sh85038277	Diriku language	diu	Diriku
sh87003431	Divehi language	div	Dhivehi
sh85038660	Diyari language	dif	Dieri
sh00010107	Dizi language	mdx	Dizi
sh2003000221	Djapu language	duj	Dhuwal
sh85038661	Djaru language	ddj	Jaru
sh87007053	Djimini language	dyi	Djimini Senoufo
sh85038665	Djinang language	dji	Djinang
sh85038666	Djingili language	jig	Djingili
sh85038667	Djirbal language	dbl	Dyirbal
sh85038668	Djuka language	djk	Aukan
sh93006295	Dobel language	kvo	Dobel
sh85038696	Dobu language	dob	Dobu
sh85038790	Dogri language	dgo	Dogri (individual language)
sh99013338	Dogrib language	dgr	Dogrib
sh88006669	Doko language (Congo)	ngc	Ngombe (Democratic Republic of Congo)
sh95002951	Dolakha language	new	Newari
sh86000177	Dolgan language	dlg	Dolgan
sh85039943	Domaaki language	dmk	Domaaki
sh85039010	Dompago language	dop	Lukpa
sh85071989	Dongola-Kenuz language	kzh	Kenuzi-Dongola
sh85138597	Dongxiang language	sce	Dongxiang
sh87005171	Doric Greek language	grc	Ancient Greek (to 1453)
sh95004839	Doyayo language	dow	Doyayo
sh85039845	Duala language	dua	Duala
sh97001588	Dukawa language	dud	Hun-Saare
sh85039941	Dumagat language (Casiguran)	dgc	Casiguran Dumagat Agta
sh85039942	Dumagat language (Umirey)	due	Umiray Dumaget Agta
sh85039947	Dumbea language	duf	Dumbea
sh93004402	Dumi language	dus	Dumi
sh87007198	Duna language	duc	Duna
sh85039977	Dungan language	dng	Dungan
sh2001009653	Dupaninan Agta language	duo	Dupaninan Agta
sh92002033	Duruma language	dug	Duruma
sh87000375	Dusun Deyah language	dun	Dusun Deyah
sh85040106	Dutch language	nld	Dutch
sh2002006078	Dutch Sign Language	dse	Dutch Sign Language
sh2004009507	Duungidjawu language	wkw	Wakawaka
sh85040273	Dyan language	dya	Dyan
sh85040355	Dyula language	dyu	Dyula
sh85040360	Dzongkha language	dzo	Dzongkha
sh85007289	East Armenian language	hye	Armenian
sh85040572	East Makian language	mky	East Makian
sh85139267	East Uvean language	wls	Wallisian
sh96007786	Eastern Arrernte language	aer	Eastern Arrernte
sh88005176	Eastern Bontoc language	bkb	Finallig
sh85086357	Eastern Mnong language	mng	Eastern Mnong
sh85104767	Eastern Pomo language	peb	Eastern Pomo
sh85040628	Eastern Yugur language	yuy	East Yugur
sh85064198	Ebira language	igb	Ebira
sh85040653	Eblaite language	xeb	Eblan
sh2002005878	Edolo language	etr	Edolo
sh99004228	Edopi language	dbf	Edopi
sh85041203	Efik language	efi	Efik
sh2002007687	Eggon language	ego	Eggon
sh85041339	Egyptian language	egy	Egyptian (Ancient)
sh85041420	Eipo language	eip	Eipomek
sh85041429	Ejagham language	etu	Ejagham
sh85041438	Ekajuk language	eka	Ekajuk
sh92006497	Ekonda language	lol	Mongo
sh85041445	Ekpeye language	ekp	Ekpeye
sh85041489	Elamite language	elx	Elamite
sh93002706	Embaloh language	emb	Embaloh
sh85042731	Embu language	ebu	Embu
sh89003263	Emerillon language	eme	Emerillon
sh85043161	Enga language	enq	Enga
sh85043173	Engenni language	enn	Engenni
sh85043175	Enggano language	eno	Enggano
sh85043413	English language	eng	English
sh90002090	Enim language	pse	Central Malay
sh85044220	Enya language	gey	Enya
sh85125617	Epena Saija language	sja	Epena
sh85044665	Eromanga language	erg	Sie
sh85044810	Ese Ejja language	ese	Ese Ejja
sh85044918	Esselen language	esq	Esselen
sh85044985	Estonian language	est	Estonian
sh98003615	Esuulaalu language	csk	Jola-Kasa
sh85045068	Eteocretan language	ecr	Eteocretan
sh85045159	Ethiopic language	gez	Geez
sh85045468	Etruscan language	ett	Etruscan
sh85045473	Etsako language	ets	Yekhee
sh85045527	Eudeve language	opt	Opata
sh85045963	Even language	eve	Even
sh85045974	Evenki language	evn	Evenki
sh85046045	Ewe language	ewe	Ewe
sh85046052	Ewondo language	ewo	Ewondo
sh85046639	Eyak language	eya	Eyak
sh85046718	Ezaa language	izi	Izi-Ezaa-Ikwo-Mgbo
sh85046938	Faiwol language	fai	Faiwol
sh92006130	Falam Chin language	cfm	Falam Chin
sh85046961	Fali language	fli	Fali
sh85046963	Faliscan language	xfa	Faliscan
sh88005536	Falor language	fap	Palor
sh85047098	Fang language	fan	Fang (Equatorial Guinea)
sh85047169	Fanti language	fat	Fanti
sh85047334	Faroese language	fao	Faroese
sh85047429	Fasu language	faa	Fasu
sh94006579	Fataluku language	ddg	Fataluku
sh85047678	Fe&apos;fe&apos; language	fmp	Fe&apos;fe&apos;
sh88007021	Fiji Hindi language	hif	Fijian Hindustani
sh85048183	Fijian language	fij	Fijian
sh90002823	Filipino language	fil	Filipino
sh85048412	Finnish language	fin	Finnish
sh85049251	Florida language	nlg	Gela
sh2002005507	Foi language	foi	Foi
sh92001499	Folopa language	ppo	Folopa
sh85050171	Fon language	fon	Fon
sh91004273	Fordata language	frd	Fordata
sh85050483	Fore language	for	Fore
sh89006430	Forest Nenets language	yrk	Nenets
sh85051121	Fox language	sac	Meskwaki
sh85051829	French language	fra	French
sh85052039	Friulian language	fur	Friulian
sh91005015	Fuliru language	flr	Fuliiru
sh85052296	Fulnio language	fun	Fulniô
sh85052493	Fur language	fvr	Fur
sh2002004936	Furu language	fuu	Furu
sh85052606	Futuna language	fud	East Futuna
sh85052605	Futuna-Aniwa language	fut	Futuna-Aniwa
sh85052622	Fuyuge language	fuy	Fuyug
sh99001048	Fyam language	pym	Fyam
sh85052633	G//ana language	gnk	//Gana
sh85052641	G/wi language	gwj	/Gwi
sh85052643	Gã language	gaa	Ga
sh87007199	Gabri language	gab	Gabri
sh87000035	Gadaba language (Dravidian)	gau	Mudhili Gadaba
sh93006063	Gadaba language (Munda)	gbj	Bodo Gadaba
sh85052677	Gaddang language	gad	Gaddang
sh96004862	Gade language	ged	Gade
sh89003502	Gadi language	gbk	Gaddi
sh85052696	Gadsup language	gaj	Gadsup
sh85052711	Gafat language	gft	Gafat
sh2002001680	Gagadu language	gbu	Gagadu
sh85052718	Gagauz language	gag	Gagauz
sh85052728	Gagu language	ggu	Gagu
sh85052732	Gahuku language	gah	Alekano
sh85052774	Galela language	gbi	Galela
sh85052814	Galician language	glg	Galician
sh85052862	Gallong language	adl	Galo Adi
sh96002574	Galoli language	gal	Galoli
sh85052896	Gambai language	sba	Ngambay
sh00008639	Gamit language	gbl	Gamit
sh98003283	Gamo language	gmo	Gamo-Gofa-Dawro
sh2004003271	Gananwa language	nso	Pedi
sh85053008	Ganda language	lug	Ganda
sh85053028	Gangte language	gnb	Gangte
sh85053029	Ganguela language	nba	Nyemba
sh93001589	Gapapaiwa language	pwg	Gapapaiwa
sh85053057	Garawa language	gbc	Garawa
sh85053163	Garhwali language	gbm	Garhwali
sh85053189	Garo language	grt	Garo
sh85053374	Gascon language	oci	Occitan (post 1500)
sh90004112	Gata&apos; language	gaq	Gata&apos;
sh85053576	Gawigl language	ubu	Umbu-Ungu
sh95002634	Gayardilt language	gyd	Kayardild
sh85053584	Gayo language	gay	Gayo
sh85053600	Gbagyi language	gbr	Gbagyi
sh85053602	Gbandi language	bza	Bandi
sh85058041	Gbari language	gby	Gbari
sh85053604	Gbaya language	gba	Gbaya (Central African Republic)
sh85053651	Gedaged language	gdd	Gedaged
sh90004284	Gedeo language	drs	Gedeo
sh85085465	Gen-Gbe language	gej	Gen
sh85054242	Georgian language	kat	Georgian
sh85054365	German language	deu	German
sh85054873	Gidabal language	bdy	Bandjalang
sh85054927	Gilaki language	glk	Gilaki
sh85054929	Gilbertese language	gil	Gilbertese
sh85054964	Gilyak language	niv	Gilyak
sh85054967	Gimi language	gim	Gimi (Eastern Highlands)
sh85054990	Ginukh language	gin	Hinukh
sh85055030	Giryama language	nyf	Giryama
sh85055037	Gisu language	myx	Masaaba
